,id,median_age,Geographic Area Name,year,total_pop
311,0500000US09007,45.4,"Middlesex County, Connecticut",2018,163368
312,0500000US09009,40.1,"New Haven County, Connecticut",2018,859339
313,0500000US09011,41.4,"New London County, Connecticut",2018,268881
314,0500000US09013,37.5,"Tolland County, Connecticut",2018,151269
315,0500000US09015,41.3,"Windham County, Connecticut",2018,116538
316,0500000US10001,37.6,"Kent County, Delaware",2018,174822
317,0500000US10003,38.1,"New Castle County, Delaware",2018,555133
318,0500000US10005,49.0,"Sussex County, Delaware",2018,219540
319,0500000US11001,33.9,"District of Columbia, District of Columbia",2018,684498
320,0500000US12001,31.3,"Alachua County, Florida",2018,263148
321,0500000US12003,37.6,"Baker County, Florida",2018,27785
322,0500000US12005,39.4,"Bay County, Florida",2018,182482
323,0500000US12007,40.1,"Bradford County, Florida",2018,26979
324,0500000US12009,47.2,"Brevard County, Florida",2018,576808
325,0500000US12011,40.1,"Broward County, Florida",2018,1909151
326,0500000US12013,40.2,"Calhoun County, Florida",2018,14444
327,0500000US12015,58.6,"Charlotte County, Florida",2018,176954
328,0500000US12017,56.2,"Citrus County, Florida",2018,143087
329,0500000US12019,39.5,"Clay County, Florida",2018,207291
330,0500000US12021,50.3,"Collier County, Florida",2018,363922
331,0500000US12023,40.7,"Columbia County, Florida",2018,69105
332,0500000US12027,40.6,"DeSoto County, Florida",2018,36399
333,0500000US12029,47.3,"Dixie County, Florida",2018,16437
334,0500000US12031,36.1,"Duval County, Florida",2018,924229
335,0500000US12033,37.2,"Escambia County, Florida",2018,311522
336,0500000US12035,50.9,"Flagler County, Florida",2018,107139
337,0500000US12037,45.0,"Franklin County, Florida",2018,11736
338,0500000US12039,40.7,"Gadsden County, Florida",2018,46017
339,0500000US12041,42.5,"Gilchrist County, Florida",2018,17615
340,0500000US12043,47.2,"Glades County, Florida",2018,13363
341,0500000US12045,44.3,"Gulf County, Florida",2018,16055
342,0500000US12047,41.5,"Hamilton County, Florida",2018,14269
343,0500000US12049,35.1,"Hardee County, Florida",2018,27228
344,0500000US12051,33.9,"Hendry County, Florida",2018,40127
345,0500000US12053,48.9,"Hernando County, Florida",2018,182696
346,0500000US12055,53.4,"Highlands County, Florida",2018,102101
347,0500000US12057,36.9,"Hillsborough County, Florida",2018,1378883
348,0500000US12059,42.5,"Holmes County, Florida",2018,19430
349,0500000US12061,52.9,"Indian River County, Florida",2018,150984
350,0500000US12063,41.6,"Jackson County, Florida",2018,48472
