,poverty_rate,per_capita_income_2007,year,fips
455,15.9,36616.0,2007,13119.0
456,14.2,58052.0,2007,13121.0
457,14.7,39902.0,2007,13123.0
458,16.0,36994.0,2007,13125.0
459,13.2,46260.0,2007,13127.0
460,14.3,42769.0,2007,13129.0
461,22.2,33060.0,2007,13131.0
462,20.9,38835.0,2007,13133.0
463,8.4,64005.0,2007,13135.0
464,14.4,41696.0,2007,13137.0
465,12.0,51764.0,2007,13139.0
466,26.8,27426.0,2007,13141.0
467,15.9,38722.0,2007,13143.0
468,9.4,61783.0,2007,13145.0
469,17.8,36667.0,2007,13147.0
470,16.4,42076.0,2007,13149.0
471,7.4,63395.0,2007,13151.0
472,11.3,52911.0,2007,13153.0
473,36.2,33902.0,2007,13155.0
474,12.2,49820.0,2007,13157.0
475,16.2,44695.0,2007,13159.0
476,20.8,32530.0,2007,13161.0
477,23.6,30967.0,2007,13163.0
478,25.4,28152.0,2007,13165.0
479,31.9,28310.0,2007,13167.0
480,12.2,50652.0,2007,13169.0
481,16.7,40923.0,2007,13171.0
482,20.3,34041.0,2007,13173.0
483,23.0,36092.0,2007,13175.0
484,9.6,55446.0,2007,13177.0
485,17.7,40993.0,2007,13179.0
486,18.2,36260.0,2007,13181.0
487,21.2,37334.0,2007,13183.0
488,20.5,38666.0,2007,13185.0
489,13.3,46582.0,2007,13187.0
490,19.4,36645.0,2007,13189.0
491,18.3,36026.0,2007,13191.0
492,28.3,27742.0,2007,13193.0
493,12.2,42627.0,2007,13195.0
494,21.1,34453.0,2007,13197.0
495,20.9,35093.0,2007,13199.0
496,21.4,31895.0,2007,13201.0
497,25.3,30732.0,2007,13205.0
498,11.4,50423.0,2007,13207.0
499,21.8,34961.0,2007,13209.0
500,13.0,47245.0,2007,13211.0
501,15.6,35817.0,2007,13213.0
502,18.6,41095.0,2007,13215.0
503,11.2,49995.0,2007,13217.0
504,7.1,70872.0,2007,13219.0
505,14.3,43514.0,2007,13221.0
506,6.9,59828.0,2007,13223.0
507,20.8,39506.0,2007,13225.0
508,11.3,50617.0,2007,13227.0
509,17.9,37173.0,2007,13229.0
510,11.1,51043.0,2007,13231.0
511,17.6,37814.0,2007,13233.0
512,18.3,39076.0,2007,13235.0
513,14.9,44128.0,2007,13237.0
514,23.6,28877.0,2007,13239.0
515,14.0,39188.0,2007,13241.0
516,25.6,26487.0,2007,13243.0
517,23.9,36944.0,2007,13245.0
518,11.3,55642.0,2007,13247.0
519,17.8,37613.0,2007,13249.0
520,20.6,32638.0,2007,13251.0
521,22.0,31094.0,2007,13253.0
522,19.4,39310.0,2007,13255.0
523,18.1,33965.0,2007,13257.0
524,27.8,27687.0,2007,13259.0
525,25.0,34882.0,2007,13261.0
526,24.4,31515.0,2007,13263.0
527,27.8,27021.0,2007,13265.0
528,25.8,33003.0,2007,13267.0
529,24.3,29657.0,2007,13269.0
530,30.4,28950.0,2007,13271.0
531,34.5,30394.0,2007,13273.0
532,17.1,39665.0,2007,13275.0
533,28.9,37335.0,2007,13277.0
534,22.8,32480.0,2007,13279.0
535,12.3,40383.0,2007,13281.0
536,27.2,29442.0,2007,13283.0
537,16.4,40867.0,2007,13285.0
538,24.6,30582.0,2007,13287.0
539,19.5,36096.0,2007,13289.0
540,11.6,42302.0,2007,13291.0
541,18.0,35046.0,2007,13293.0
542,16.1,37568.0,2007,13295.0
543,12.2,53022.0,2007,13297.0
544,20.4,34286.0,2007,13299.0
545,23.3,31964.0,2007,13301.0
546,21.8,34760.0,2007,13303.0
547,17.5,38773.0,2007,13305.0
548,20.6,33287.0,2007,13307.0
549,31.0,31707.0,2007,13309.0
550,14.6,41325.0,2007,13311.0
551,16.5,43408.0,2007,13313.0
552,26.9,31697.0,2007,13315.0
553,20.1,32461.0,2007,13317.0
554,17.9,35367.0,2007,13319.0
555,18.3,37643.0,2007,13321.0
557,13.1,55779.0,2007,15001.0
558,7.8,64849.0,2007,15003.0
559,,,2007,15005.0
560,9.0,55786.0,2007,15007.0
561,6.8,60435.0,2007,15009.0
563,7.9,55121.0,2007,16001.0
564,12.6,37796.0,2007,16003.0
565,15.3,44150.0,2007,16005.0
566,11.1,42360.0,2007,16007.0
567,15.2,38402.0,2007,16009.0
568,12.8,42714.0,2007,16011.0
569,6.5,65857.0,2007,16013.0
570,12.0,48991.0,2007,16015.0
571,14.7,42420.0,2007,16017.0
572,10.8,51260.0,2007,16019.0
573,15.6,37653.0,2007,16021.0
574,16.0,38084.0,2007,16023.0
575,8.0,49016.0,2007,16025.0
576,14.5,43132.0,2007,16027.0
577,10.6,48066.0,2007,16029.0
578,17.8,37837.0,2007,16031.0
579,15.0,37845.0,2007,16033.0
580,15.0,38785.0,2007,16035.0
581,12.4,41042.0,2007,16037.0
582,12.0,50920.0,2007,16039.0
583,10.0,45370.0,2007,16041.0
584,13.2,40571.0,2007,16043.0
585,13.0,41392.0,2007,16045.0
586,13.2,39039.0,2007,16047.0
587,15.7,36952.0,2007,16049.0
588,12.0,47726.0,2007,16051.0
589,12.7,41790.0,2007,16053.0
590,11.3,46724.0,2007,16055.0
591,17.0,42031.0,2007,16057.0
592,13.5,37523.0,2007,16059.0
593,13.0,36089.0,2007,16061.0
594,15.1,40271.0,2007,16063.0
595,21.5,39543.0,2007,16065.0
596,16.1,39490.0,2007,16067.0
597,12.7,40726.0,2007,16069.0
598,11.5,41439.0,2007,16071.0
