,total_pop,pct_female,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_hispanic,fips
207,259441,51.2,76.7,2.3,0.3,5.8,0.1,6.7,16.1,06041
208,17319,48.4,87.4,1.5,2.3,1.1,0.4,4.4,11.8,06043
209,87110,50.5,80.0,0.5,4.3,2.0,0.2,7.5,25.7,06045
210,273661,49.5,51.0,3.0,1.1,7.6,0.3,6.2,60.2,06047
211,8853,49.1,88.1,1.4,3.5,1.9,0.1,2.3,14.9,06049
212,14395,46.5,83.1,0.6,2.8,4.4,0.0,4.5,27.0,06051
213,432977,49.1,48.5,2.6,0.7,5.8,0.5,6.8,59.0,06053
214,138572,50.2,71.2,2.1,0.7,7.6,0.2,7.0,34.1,06055
215,99417,50.8,92.1,0.4,0.5,1.1,0.2,4.5,9.5,06057
216,3170345,50.6,57.6,1.7,0.5,21.1,0.3,6.8,33.8,06059
217,391799,51.2,80.4,1.6,0.6,8.2,0.2,6.4,14.3,06061
218,18844,49.9,88.5,1.5,1.9,1.2,0.2,5.0,9.3,06063
219,2437864,50.2,55.7,6.5,0.8,6.7,0.3,7.8,49.4,06065
220,1537948,51.1,54.6,9.7,0.6,16.7,1.1,9.2,23.4,06067
221,61547,49.7,73.4,0.8,0.9,2.8,0.1,11.9,60.1,06069
222,2162532,50.2,56.1,8.2,0.8,7.4,0.3,9.3,53.8,06071
223,3323970,49.6,66.6,4.9,0.7,12.0,0.4,8.6,33.9,06073
224,874784,49.0,44.9,5.1,0.4,34.3,0.4,7.2,15.2,06075
225,751615,50.2,51.5,7.1,0.6,15.9,0.6,14.1,41.7,06077
226,282517,49.4,82.6,1.7,0.8,3.7,0.1,6.6,22.8,06079
227,765623,50.5,48.3,2.4,0.5,29.4,1.3,7.5,24.1,06081
228,444895,50.0,71.8,1.9,1.1,5.5,0.1,9.7,45.7,06083
229,1924379,49.3,41.6,2.5,0.5,37.7,0.4,7.5,25.1,06085
230,273170,50.5,71.7,1.3,0.6,5.0,0.2,7.0,33.6,06087
231,179267,50.8,85.1,1.1,2.5,3.2,0.2,5.8,10.4,06089
