year,fips,covid_cases
2021,12071,129344
2022,12071,202707
2020,12073,19291
2021,12073,52541
2022,12073,90697
2020,12075,1815
2021,12075,7139
2022,12075,10611
2020,12077,741
2021,12077,1858
2022,12077,2561
2020,12079,1532
2021,12079,3685
2022,12079,6009
2020,12081,21980
2021,12081,66861
2022,12081,102997
2020,12083,17451
2021,12083,58099
2022,12083,87552
2020,12085,7760
2021,12085,21044
2022,12085,32960
2020,12086,295936
2021,12086,747820
2022,12086,1303783
2020,12087,4197
2021,12087,11404
2022,12087,19437
2020,12089,4665
2021,12089,15417
2022,12089,23101
2020,12091,12663
2021,12091,35295
2022,12091,53651
2020,12093,2387
2021,12093,7481
2022,12093,10902
2020,12095,75317
2021,12095,240020
2022,12095,408844
2020,12097,24996
2021,12097,75292
2022,12097,122550
2020,12099,81899
2021,12099,243450
2022,12099,402442
2020,12101,21602
2021,12101,81832
2022,12101,132085
2020,12103,44243
2021,12103,139153
2022,12103,228533
2020,12105,36766
2021,12105,132809
2022,12105,214433
2020,12107,3906
2021,12107,12939
2022,12107,18233
2020,12109,12828
2021,12109,42217
2022,12109,66688
2020,12111,14090
2021,12111,49332
2022,12111,79531
2020,12113,10936
2021,12113,33130
2022,12113,50355
2020,12115,18371
2021,12115,57655
2022,12115,98925
2020,12117,17814
2021,12117,65665
2022,12117,112315
2020,12119,4951
2021,12119,15017
2022,12119,23920
2020,12121,3964
2021,12121,9337
2022,12121,13247
2020,12123,1948
2021,12123,4659
2022,12123,7131
2020,12125,1431
2021,12125,3109
2022,12125,4396
2020,12127,21971
2021,12127,78979
2022,12127,125956
2020,12129,2086
2021,12129,6515
2022,12129,10298
2020,12131,4818
2021,12131,12212
2022,12131,17101
2020,12133,1936
2021,12133,4616
2022,12133,6773
2020,13001,1441
2021,13001,2832
2022,13001,3585
2020,13003,634
2021,13003,1206
2022,13003,1611
2020,13005,802
2021,13005,2001
2022,13005,2666
2020,13007,128
2021,13007,247
2022,13007,323
2020,13009,2886
2021,13009,5447
2022,13009,7515
2020,13011,1124
2021,13011,2573
2022,13011,3513
2020,13013,4723
2021,13013,14246
2022,13013,20194
2020,13015,6454
2021,13015,16782
2022,13015,22200
2020,13017,1188
2021,13017,1886
2022,13017,2184
2020,13019,781
2021,13019,1577
2022,13019,2064
2020,13021,9255
2021,13021,21456
2022,13021,29859
2020,13023,637
2021,13023,1126
2022,13023,1504
2020,13025,661
2021,13025,1925
2022,13025,2530
2020,13027,765
2021,13027,1431
2022,13027,1939
2020,13029,1741
2021,13029,4801
2022,13029,7239
2020,13031,3711
2021,13031,8181
2022,13031,10731
2020,13033,1156
2021,13033,2363
2022,13033,3026
2020,13035,1252
2021,13035,3643
2022,13035,4939
2020,13037,311
2021,13037,618
2022,13037,1002
2020,13039,2198
2021,13039,6240
2022,13039,9215
2020,13043,605
2021,13043,1133
