,fips,year,employed_persons,unemployment_rate,total_pop,poverty_rate,per_capita_income_2007,per_capita_income_2006,per_capita_income_2005,per_capita_income_2008,per_capita_income_2003,per_capita_income_2004,per_capita_income_2009,per_capita_income_2002
358,12069,2000,90721.0,3.6,212347.0,,,,,,,,,
359,12071,2000,202746.0,3.3,444311.0,,,,,,,,,
360,12073,2000,131829.0,3.1,240571.0,,,,,,,,,
361,12075,2000,13958.0,3.9,34644.0,,,,,,,,,
362,12077,2000,2534.0,4.2,6989.0,,,,,,,,,
363,12079,2000,7448.0,4.1,18734.0,,,,,,,,,
364,12081,2000,120333.0,3.2,265644.0,,,,,,,,,
365,12083,2000,105689.0,4.1,260221.0,,,,,,,,,
366,12085,2000,54468.0,4.2,127301.0,,,,,,,,,
367,12086,2000,1043046.0,4.5,2259508.0,,,,,,,,,
368,12087,2000,44271.0,2.9,79470.0,,,,,,,,,
369,12089,2000,29531.0,3.3,57957.0,,,,,,,,,
370,12091,2000,78110.0,3.7,171200.0,,,,,,,,,
371,12093,2000,14948.0,5.4,35917.0,,,,,,,,,
372,12095,2000,488469.0,3.1,903019.0,,,,,,,,,
373,12097,2000,87372.0,3.3,174146.0,,,,,,,,,
374,12099,2000,523327.0,4.3,1135787.0,,,,,,,,,
375,12101,2000,145960.0,3.7,347038.0,,,,,,,,,
376,12103,2000,459600.0,3.3,922150.0,,,,,,,,,
377,12105,2000,223624.0,4.2,485515.0,,,,,,,,,
378,12107,2000,28343.0,4.3,70433.0,,,,,,,,,
379,12109,2000,65047.0,3.0,124522.0,,,,,,,,,
380,12111,2000,83132.0,5.8,193518.0,,,,,,,,,
381,12113,2000,53327.0,3.9,118360.0,,,,,,,,,
382,12115,2000,145304.0,3.2,327165.0,,,,,,,,,
383,12117,2000,207963.0,3.1,367378.0,,,,,,,,,
384,12119,2000,16335.0,4.3,53738.0,,,,,,,,,
385,12121,2000,14999.0,3.6,35071.0,,,,,,,,,
386,12123,2000,7939.0,5.0,19233.0,,,,,,,,,
387,12125,2000,4370.0,4.4,13450.0,,,,,,,,,
388,12127,2000,204337.0,3.4,444935.0,,,,,,,,,
389,12129,2000,11418.0,3.2,22924.0,,,,,,,,,
390,12131,2000,18906.0,3.5,40755.0,,,,,,,,,
391,12133,2000,8617.0,4.6,21023.0,,,,,,,,,
392,13001,2000,8062.0,5.4,17396.0,,,,,,,,,
393,13003,2000,3305.0,5.3,7591.0,,,,,,,,,
394,13005,2000,4431.0,4.5,10131.0,,,,,,,,,
395,13007,2000,1661.0,4.3,4025.0,,,,,,,,,
396,13009,2000,17970.0,4.8,44684.0,,,,,,,,,
397,13011,2000,7535.0,3.0,14544.0,,,,,,,,,
398,13013,2000,24267.0,3.0,46520.0,,,,,,,,,
399,13015,2000,38875.0,3.7,76806.0,,,,,,,,,
400,13017,2000,7721.0,4.8,17483.0,,,,,,,,,
401,13019,2000,7697.0,4.0,16268.0,,,,,,,,,
402,13021,2000,66992.0,4.3,153857.0,,,,,,,,,
403,13023,2000,4930.0,4.2,11654.0,,,,,,,,,
404,13025,2000,6472.0,4.2,14700.0,,,,,,,,,
405,13027,2000,7177.0,4.6,16458.0,,,,,,,,,
406,13029,2000,11184.0,3.1,23474.0,,,,,,,,,
407,13031,2000,26109.0,3.8,56146.0,,,,,,,,,
408,13033,2000,8673.0,5.0,22279.0,,,,,,,,,
409,13035,2000,8615.0,4.6,19621.0,,,,,,,,,
410,13037,2000,2194.0,6.5,6325.0,,,,,,,,,
411,13039,2000,17072.0,3.6,43824.0,,,,,,,,,
412,13043,2000,3783.0,4.6,9585.0,,,,,,,,,
413,13045,2000,42986.0,3.7,87932.0,,,,,,,,,
414,13047,2000,28749.0,2.7,53549.0,,,,,,,,,
415,13049,2000,3769.0,4.1,10312.0,,,,,,,,,
416,13051,2000,107100.0,3.6,232492.0,,,,,,,,,
417,13053,2000,2406.0,8.1,15047.0,,,,,,,,,
418,13055,2000,11142.0,3.7,25419.0,,,,,,,,,
419,13057,2000,80258.0,2.6,143777.0,,,,,,,,,
420,13059,2000,52126.0,3.4,102401.0,,,,,,,,,
421,13061,2000,1262.0,5.5,3353.0,,,,,,,,,
422,13063,2000,121368.0,3.3,238079.0,,,,,,,,,
423,13065,2000,2605.0,5.3,6831.0,,,,,,,,,
424,13067,2000,348740.0,2.8,611505.0,,,,,,,,,
425,13069,2000,16286.0,4.6,37592.0,,,,,,,,,
426,13071,2000,18373.0,4.6,42140.0,,,,,,,,,
427,13073,2000,45623.0,2.9,90138.0,,,,,,,,,
428,13075,2000,6898.0,4.5,15855.0,,,,,,,,,
429,13077,2000,46854.0,3.3,90117.0,,,,,,,,,
430,13079,2000,5610.0,4.0,12408.0,,,,,,,,,
431,13081,2000,9232.0,4.6,22018.0,,,,,,,,,
432,13083,2000,7439.0,3.0,15199.0,,,,,,,,,
433,13085,2000,8739.0,2.7,16238.0,,,,,,,,,
434,13087,2000,11691.0,4.5,28223.0,,,,,,,,,
