,poverty_rate,per_capita_income_2005,fips,year
458,15.5,33055,13125.0,2005
459,16,41109,13127.0,2005
460,13,38718,13129.0,2005
461,21.2,30608,13131.0,2005
462,20.9,36104,13133.0,2005
463,7.5,61446,13135.0,2005
464,11.5,37313,13137.0,2005
465,10.8,48359,13139.0,2005
466,27.9,25802,13141.0,2005
467,16.3,36254,13143.0,2005
468,9.5,53482,13145.0,2005
469,16.3,35457,13147.0,2005
470,15.9,36243,13149.0,2005
471,6.3,60342,13151.0,2005
472,12.4,48922,13153.0,2005
473,20.1,30517,13155.0,2005
474,12.7,44174,13157.0,2005
475,15.1,42156,13159.0,2005
476,19.9,29341,13161.0,2005
477,27.5,28203,13163.0,2005
478,27.7,25951,13165.0,2005
479,27,26671,13167.0,2005
480,11.5,45727,13169.0,2005
481,15.7,38475,13171.0,2005
482,19.8,31091,13173.0,2005
483,18.6,36024,13175.0,2005
484,8.9,57653,13177.0,2005
485,18.5,38374,13179.0,2005
486,17.6,30799,13181.0,2005
487,21.4,33426,13183.0,2005
488,18,37525,13185.0,2005
489,14.6,41204,13187.0,2005
490,20.8,33987,13189.0,2005
491,20.2,33372,13191.0,2005
492,29.6,25140,13193.0,2005
493,14.3,38248,13195.0,2005
494,24.4,31545,13197.0,2005
495,21.6,31780,13199.0,2005
496,22.5,29093,13201.0,2005
497,26.6,27279,13205.0,2005
498,11.4,49102,13207.0,2005
499,22.4,31368,13209.0,2005
500,13,42954,13211.0,2005
501,14.8,37792,13213.0,2005
502,19.6,34954,13215.0,2005
503,11.4,49349,13217.0,2005
504,6.8,62966,13219.0,2005
505,14.6,40383,13221.0,2005
506,6.5,56989,13223.0,2005
507,21.4,36795,13225.0,2005
508,10.4,47697,13227.0,2005
509,20.4,32218,13229.0,2005
510,10.6,47796,13231.0,2005
511,16.5,36621,13233.0,2005
512,19.9,33333,13235.0,2005
513,16.5,38883,13237.0,2005
514,24.2,27632,13239.0,2005
515,12.6,36253,13241.0,2005
516,30.6,23986,13243.0,2005
517,22.7,36291,13245.0,2005
518,11.4,52755,13247.0,2005
519,18,34586,13249.0,2005
520,20.1,30281,13251.0,2005
521,21.4,30893,13253.0,2005
522,17.7,37608,13255.0,2005
523,16.7,34243,13257.0,2005
524,28.3,25180,13259.0,2005
525,27.6,30996,13261.0,2005
526,22,29382,13263.0,2005
527,29,24893,13265.0,2005
528,26.2,30441,13267.0,2005
529,28.2,27118,13269.0,2005
530,26.3,27554,13271.0,2005
531,29.3,28152,13273.0,2005
532,18.9,33563,13275.0,2005
533,21.5,34013,13277.0,2005
534,27.4,25254,13279.0,2005
535,12.1,35861,13281.0,2005
536,28.9,26393,13283.0,2005
537,16.7,37149,13285.0,2005
538,28.3,27137,13287.0,2005
539,20.1,33743,13289.0,2005
540,14.8,34349,13291.0,2005
541,18.3,32116,13293.0,2005
542,14.9,35761,13295.0,2005
543,11.3,51647,13297.0,2005
544,21.5,30047,13299.0,2005
545,24.4,29507,13301.0,2005
546,22.5,31894,13303.0,2005
547,19.6,35426,13305.0,2005
548,21.1,29990,13307.0,2005
549,30.9,25946,13309.0,2005
550,13.3,37923,13311.0,2005
551,12.9,41203,13313.0,2005
552,29.2,23848,13315.0,2005
553,18.9,29915,13317.0,2005
554,21.1,32156,13319.0,2005
555,19.6,34136,13321.0,2005
557,13.5,47007,15001.0,2005
558,9.3,59963,15003.0,2005
559,.,.,15005.0,2005
560,11.8,56865,15007.0,2005
561,8.5,54537,15009.0,2005
563,9.4,51343,16001.0,2005
564,14.2,38028,16003.0,2005
565,16.5,37641,16005.0,2005
566,12.6,38277,16007.0,2005
567,14.9,35274,16009.0,2005
568,14.7,40771,16011.0,2005
569,7.1,55431,16013.0,2005
570,11.7,42459,16015.0,2005
571,14.4,36731,16017.0,2005
572,11.7,45673,16019.0,2005
573,14,34282,16021.0,2005
574,17.3,31828,16023.0,2005
575,8.7,39233,16025.0,2005
576,15.8,40785,16027.0,2005
577,11.1,42289,16029.0,2005
578,15.7,36495,16031.0,2005
579,19.9,32687,16033.0,2005
580,15.5,35828,16035.0,2005
581,14,35166,16037.0,2005
582,13.7,40144,16039.0,2005
583,10,38436,16041.0,2005
584,16.3,36470,16043.0,2005
585,14.2,36711,16045.0,2005
586,14.3,35718,16047.0,2005
587,16.5,32380,16049.0,2005
588,10.8,42571,16051.0,2005
589,13.9,37304,16053.0,2005
590,11.8,38976,16055.0,2005
591,16.9,36781,16057.0,2005
592,14.8,32590,16059.0,2005
593,13.7,34721,16061.0,2005
594,12.4,37816,16063.0,2005
595,29.9,34727,16065.0,2005
596,16.3,35548,16067.0,2005
597,15.8,38750,16069.0,2005
598,12.5,37678,16071.0,2005
599,18.5,30743,16073.0,2005
600,13.2,37434,16075.0,2005
601,17.4,34797,16077.0,2005
602,19.9,30880,16079.0,2005
603,10.3,46680,16081.0,2005
604,15.8,38406,16083.0,2005
605,10.2,43471,16085.0,2005
606,16.2,32712,16087.0,2005
608,11.2,39945,17001.0,2005
609,33.9,27404,17003.0,2005
610,12.8,40950,17005.0,2005
611,8,55521,17007.0,2005
612,13.9,39550,17009.0,2005
613,10.1,43667,17011.0,2005
614,10.4,39994,17013.0,2005
615,10.9,40689,17015.0,2005
616,11.8,39139,17017.0,2005
617,17.7,40225,17019.0,2005
618,11.4,39230,17021.0,2005
619,11.9,38587,17023.0,2005
620,13.3,34224,17025.0,2005
621,7.5,50601,17027.0,2005
622,18.8,36033,17029.0,2005
623,15,48919,17031.0,2005
624,13.7,36099,17033.0,2005
625,10.9,40263,17035.0,2005
626,14.6,48576,17037.0,2005
627,9.8,46135,17039.0,2005
628,7.5,42910,17041.0,2005
629,5,70610,17043.0,2005
630,13.2,37261,17045.0,2005
631,10.5,38825,17047.0,2005
632,9.2,42441,17049.0,2005
633,15.3,31754,17051.0,2005
634,9.1,41461,17053.0,2005
635,16.7,32204,17055.0,2005
636,12.1,36989,17057.0,2005
637,18.9,29780,17059.0,2005
638,13.7,36057,17061.0,2005
639,5.3,59188,17063.0,2005
640,13.8,33826,17065.0,2005
641,11,38514,17067.0,2005
642,19,32604,17069.0,2005
643,11.8,37156,17071.0,2005
644,10.3,43167,17073.0,2005
645,10.5,41277,17075.0,2005
646,29.1,27185,17077.0,2005
647,10.8,40867,17079.0,2005
648,15.6,38891,17081.0,2005
649,8.2,47136,17083.0,2005
650,9,44051,17085.0,2005
651,14.9,38021,17087.0,2005
652,8.5,63429,17089.0,2005
653,13.1,45906,17091.0,2005
654,3.1,72790,17093.0,2005
655,14.7,35794,17095.0,2005
656,7,69173,17097.0,2005
657,11.7,42007,17099.0,2005
658,14.9,35134,17101.0,2005
659,9.2,46582,17103.0,2005
660,9.7,50366,17105.0,2005
661,11.3,43924,17107.0,2005
662,20.9,33853,17109.0,2005
663,4.6,71175,17111.0,2005
664,11.4,51724,17113.0,2005
665,15.2,39834,17115.0,2005
666,10.4,40913,17117.0,2005
667,11,47235,17119.0,2005
668,16.1,33668,17121.0,2005
669,8,46613,17123.0,2005
670,14.2,38478,17125.0,2005
671,16.4,34198,17127.0,2005
672,9.3,53135,17129.0,2005
673,8.1,46446,17131.0,2005
674,3.8,62322,17133.0,2005
675,15.4,35478,17135.0,2005
676,13.6,39952,17137.0,2005
677,9.5,41423,17139.0,2005
678,8.4,51690,17141.0,2005
679,12.8,44139,17143.0,2005
680,16.2,35812,17145.0,2005
681,6.2,49721,17147.0,2005
682,14.3,36859,17149.0,2005
683,17.9,32954,17151.0,2005
684,28.7,27059,17153.0,2005
685,6.6,49985,17155.0,2005
686,12.8,40169,17157.0,2005
687,15.2,34351,17159.0,2005
688,13.4,41509,17161.0,2005
689,13,42793,17163.0,2005
690,20.6,31565,17165.0,2005
691,11.2,46272,17167.0,2005
692,11.2,40636,17169.0,2005
693,10.6,42543,17171.0,2005
694,10.5,44757,17173.0,2005
695,10.4,44329,17175.0,2005
696,10.7,44068,17177.0,2005
697,8.7,49379,17179.0,2005
698,16.7,34663,17181.0,2005
699,18.3,35889,17183.0,2005
700,14.8,38283,17185.0,2005
701,13.3,38008,17187.0,2005
702,7.8,48143,17189.0,2005
703,14.9,34542,17191.0,2005
704,14.1,35198,17193.0,2005
705,10.9,40439,17195.0,2005
706,5.4,68592,17197.0,2005
707,13,35923,17199.0,2005
708,11.9,43807,17201.0,2005
709,5.5,58336,17203.0,2005
711,11.5,45381,18001.0,2005
712,11.8,45506,18003.0,2005
713,10,46172,18005.0,2005
714,9,42467,18007.0,2005
715,11.7,37671,18009.0,2005
716,5.6,60539,18011.0,2005
717,10.5,47813,18013.0,2005
718,8.6,45702,18015.0,2005
719,10.7,40999,18017.0,2005
720,10.7,43158,18019.0,2005
721,12.6,40196,18021.0,2005
722,11.1,44979,18023.0,2005
723,17.5,34739,18025.0,2005
724,16.1,37074,18027.0,2005
725,8.1,54468,18029.0,2005
726,11.2,44424,18031.0,2005
727,8.2,45109,18033.0,2005
728,18.3,35163,18035.0,2005
729,6.5,51191,18037.0,2005
730,10.9,45811,18039.0,2005
731,13.7,40714,18041.0,2005
732,10.5,48039,18043.0,2005
733,11,41832,18045.0,2005
734,8.9,47711,18047.0,2005
735,11.4,41289,18049.0,2005
736,9.2,43371,18051.0,2005
737,17.9,36733,18053.0,2005
738,15.1,37441,18055.0,2005
739,3.9,79927,18057.0,2005
740,4.7,60343,18059.0,2005
741,9,46420,18061.0,2005
742,4.7,59720,18063.0,2005
743,10.4,42698,18065.0,2005
744,12.8,45725,18067.0,2005
745,8.4,43945,18069.0,2005
746,11.1,40939,18071.0,2005
747,8.1,48016,18073.0,2005
748,12.3,33813,18075.0,2005
749,12.6,39527,18077.0,2005
750,10.8,42735,18079.0,2005
751,7.1,56854,18081.0,2005
752,17.6,38175,18083.0,2005
753,8.6,47567,18085.0,2005
754,8.5,48857,18087.0,2005
755,16.7,42917,18089.0,2005
756,11.9,45537,18091.0,2005
757,13.2,40009,18093.0,2005
758,11.9,40747,18095.0,2005
759,15.2,42129,18097.0,2005
760,8,46990,18099.0,2005
761,12.2,40303,18101.0,2005
762,12.2,40967,18103.0,2005
763,22.2,35728,18105.0,2005
764,11.3,44177,18107.0,2005
765,7.8,51329,18109.0,2005
766,8.7,46739,18111.0,2005
767,8.9,48445,18113.0,2005
768,8.2,43969,18115.0,2005
769,16.7,33691,18117.0,2005
770,12.4,38958,18119.0,2005
771,15.4,38240,18121.0,2005
772,12.4,39472,18123.0,2005
773,11.9,38496,18125.0,2005
774,8.4,56496,18127.0,2005
775,9.1,52740,18129.0,2005
776,11.4,41106,18131.0,2005
777,11.1,43760,18133.0,2005
778,13.9,38805,18135.0,2005
779,9.6,45822,18137.0,2005
780,9.2,43755,18139.0,2005
781,13.3,41565,18141.0,2005
782,14.9,36156,18143.0,2005
783,10.1,47161,18145.0,2005
784,8.4,45208,18147.0,2005
785,14.5,39745,18149.0,2005
786,10.2,44209,18151.0,2005
787,14.3,37254,18153.0,2005
788,13.6,39750,18155.0,2005
789,17.9,40721,18157.0,2005
790,7.4,51808,18159.0,2005
791,11,45307,18161.0,2005
792,13.4,41464,18163.0,2005
793,11.8,40117,18165.0,2005
794,17.4,35763,18167.0,2005
795,10.1,42705,18169.0,2005
796,8.2,47674,18171.0,2005
797,6.3,54475,18173.0,2005
798,13.3,38005,18175.0,2005
799,14.4,35557,18177.0,2005
800,7.4,45822,18179.0,2005
801,10.3,42877,18181.0,2005
802,7.5,47709,18183.0,2005
804,10,39568,19001.0,2005
805,10.4,35296,19003.0,2005
806,11.3,36822,19005.0,2005
807,17.2,31764,19007.0,2005
808,9.6,38941,19009.0,2005
809,7.9,48713,19011.0,2005
810,15,40502,19013.0,2005
811,8.9,45009,19015.0,2005
812,7.4,46665,19017.0,2005
