,year,fips,cases_chlamydia,cases_gonorrhea,total_pop
765,2000,18029,0.0,0.0,
766,2000,13087,0.0,0.0,
767,2000,19053,8.0,2.0,
768,2000,18031,0.0,0.0,
769,2000,20039,0.0,0.0,
770,2000,47039,0.0,0.0,
771,2000,30023,0.0,0.0,
772,2000,39039,77.0,10.0,
773,2000,1049,46.0,14.0,
774,2000,13089,0.0,0.0,
775,2000,17037,242.0,54.0,
776,2000,18033,0.0,0.0,
777,2000,29063,6.0,1.0,
778,2000,47041,0.0,0.0,
779,2000,6015,0.0,0.0,
780,2000,19055,16.0,3.0,
781,2000,18035,0.0,0.0,
782,2000,36025,0.0,0.0,
783,2000,39041,118.0,35.0,
784,2000,40041,19.0,4.0,
785,2000,42045,0.0,0.0,
786,2000,8029,0.0,15.0,
787,2000,26041,20.0,0.0,
788,2000,48119,3.0,2.0,
789,2000,2068,0.0,0.0,
790,2000,29065,8.0,1.0,
791,2000,48121,685.0,236.0,
792,2000,8031,0.0,1593.0,
793,2000,19057,180.0,75.0,
794,2000,41017,170.0,5.0,
795,2000,5041,74.0,22.0,
796,2000,12027,83.0,58.0,
797,2000,28033,94.0,60.0,
798,2000,31049,0.0,0.0,
799,2000,46039,4.0,0.0,
800,2000,40043,2.0,0.0,
801,2000,46041,94.0,36.0,
802,2000,48123,80.0,27.0,
803,2000,48125,4.0,1.0,
804,2000,51051,8.0,0.0,
805,2000,38021,0.0,0.0,
806,2000,19059,5.0,2.0,
807,2000,20041,23.0,5.0,
808,2000,26043,2.0,0.0,
809,2000,47043,0.0,0.0,
810,2000,2070,23.0,1.0,
811,2000,45033,92.0,79.0,
812,2000,48127,22.0,4.0,
