,poverty_rate,fips,year,per_capita_income_2022
575,7.8,2060,2009,88252.66
576,4.4,2068,2002,87285.0
577,6.7,2068,2003,84090.3
578,6,2068,2004,87333.48
579,6.6,2068,2005,88188.88
580,6.3,2068,2006,88814.72
581,6.4,2068,2007,91682.29999999999
582,5.4,2068,2008,95472.0
583,4.8,2068,2009,85782.55
584,19.1,2070,2002,64300.5
585,18.0,2070,2003,65167.97
586,17.6,2070,2004,63100.44
587,22.7,2070,2005,66866.32
588,21.1,2070,2006,68881.34
589,21.5,2070,2007,70032.98
590,19.6,2070,2008,68616.45000000001
591,18.5,2070,2009,63814.600000000006
592,7.0,2090,2002,85062.45
593,7.7,2090,2003,84512.12000000001
594,8,2090,2004,82812.6
595,8.9,2090,2005,84220.16
596,9.1,2090,2006,84554.44
597,7.8,2090,2007,88260.09999999999
598,7.5,2090,2008,88388.55
599,7.9,2090,2009,88626.67000000001
600,11.6,2100,2002,64119.0
601,11.5,2100,2003,62794.83
602,10.7,2100,2004,62634.0
603,11.9,2100,2005,63811.12
604,13.3,2100,2006,64083.78
605,11.4,2100,2007,66747.09999999999
606,10.4,2100,2008,65203.65
607,9.8,2100,2009,66642.28
608,15.9,2105,2008,59467.50000000001
609,17.2,2105,2009,57298.880000000005
610,6.7,2110,2002,97523.25
611,7.3,2110,2003,96638.64
612,7.5,2110,2004,93904.2
613,7.3,2110,2005,102773.28
614,7.0,2110,2006,98974.86
615,7.1,2110,2007,106928.84
616,6.7,2110,2008,96272.55
617,6.6,2110,2009,100070.28000000001
618,9.5,2122,2002,80409.45
619,9.9,2122,2003,78402.17
620,9.7,2122,2004,75619.44
621,11.2,2122,2005,73526.96
622,11.0,2122,2006,79250.26
623,10.3,2122,2007,80440.15999999999
624,10.3,2122,2008,73178.1
625,8.7,2122,2009,78324.27
626,8.1,2130,2002,81734.4
627,8.1,2130,2003,80747.94
628,8.4,2130,2004,80071.68000000001
629,9.3,2130,2005,80791.04000000001
630,9.6,2130,2006,85731.2
631,8.8,2130,2007,81226.84
632,8.7,2130,2008,79230.15000000001
633,8.3,2130,2009,80134.04000000001
634,8.3,2150,2002,83831.54999999999
635,8.6,2150,2003,83412.49
636,8.5,2150,2004,82265.04000000001
637,8.6,2150,2005,83498.16
638,8.7,2150,2006,87328.44
639,7.5,2150,2007,83794.2
640,8.0,2150,2008,83058.75
641,6.9,2150,2009,85726.38
642,18.4,2164,2002,52196.1
643,16.6,2164,2003,52513.37
644,16.6,2164,2004,49715.64
645,20.6,2164,2005,52905.12
646,21.1,2164,2006,54942.72
647,18.9,2164,2007,57615.079999999994
648,17.2,2164,2008,58977.450000000004
649,16.1,2164,2009,57863.32000000001
650,9.7,2170,2002,86316.45
651,10.5,2170,2003,88107.25
652,10.3,2170,2004,87491.04000000001
653,11.3,2170,2005,86843.68000000001
654,11.0,2170,2006,87210.18
